(Sanson Ko Sanson Mein|Saanson Ko Saanson Mein Dal Ne
Dil Ka Bhanwar Kare Pukar|Dil Ka Bhanwar Kare Pukar
Dil Ka Bhawar Kare Pukar|Dil Ka Bhanwar Kare Pukar
Dil Ke Armaan|Dil Ke Armaan
Dil Ke Jharoke Main|Dil Ke Jharoke Mein
Dil Ke Jharoke Mein Tujhko Bithakar|Dil Ke Jharoke Mein
Dil Ke Jharokhe Mein Tujkho Bithakar|Dil Ke Jharoke Mein
Dil Ki Nazar Se|Dil Ki Nazar Se
Dil Kya Kare Jab Kisi Se|Dil Kya Kare
Dil Kya Kare Jab Kisi Ko Julie|Dil Kya Kare
Dil Kya Kare Jab Kisi Ko|Dil Kya Kare
Dil Kya Kare|Dil Kya Kare
Dil Leke Darde Dil|Dil Leke Darde Dil
Dil Leke Dard|Dil Leke Darde Dil
Dil Ne Ye Kaha Hai Dil Se|Dil Ne Yeh Kaha
Dil Ne Yeh Kaha Hai Dilse|Dil Ne Yeh Kaha
Dil Ne Yeh Kaha Hai|Dil Ne Yeh Kaha
Dil Ne Yeh Kaha|Dil Ne Yeh Kaha
Dil Tadap Tadap Ke Keh Raha Hai|Dil Tadap Tadap Ke
Dil Tadap Tadap Ke|Dil Tadap Tadap Ke
Dil To Baccha Hai Ji|Dil To Baccha Hai Ji
Shaddil To Bacha Hai Ji|Dil To Baccha Hai Ji
Dil To Pagal Hai|Dil To Pagal Hai
Dil To Pagal He|Dil To Pagal Hai
Dildeewa Maine Pyaar Kiya|Dil Deewana
Dilkya Kare Jab Ki Julie|Dil Kya Kare
Dilne Yeh Kaha Hai Dil Se|Dil Ne Yeh Kaha
Dilneyeh Kaha Hain Dil Se Kaha Hain 2|Dil Ne Yeh Kaha
Diye Jalte Hai Phool Khilte Hai|Diye Jalte Hain
Diye Jalte Hain|Diye Jalte Hain
Do Dil Mil Rahe Hai Quality|Do Dil Mil Rahe Hai
Do Dil Mil Rahe Hai|Do Dil Mil Rahe Hai
Do Dil Mil Rahein Hain|Do Dil Mil Rahe Hai
Do Dil Mil Rahe Hain Quality|Do Dil Mil Rahe Hai
Do Lafzon Ki Hai|Do Lafzon Ki Hai
Do Pal Ruka Khwabon Ka Do Pal Ruka|Do Pal Ruka
Do Pal Ruka Veer Veer Veer|Do Pal Ruka
Do Pal Ruka|Do Pal Ruka
Do Palruka Khwabon Ka Karwan Veer Pal Pal|Do Pal Ruka
Do Sitaron Ka Zameen Par Hai Milan|Do Sitaron Ka Zameen Par Hai Milan
Donna|Donna
Dost Dost Na|Dost Dost Na
Drjaanam Dekhlo Mit Gayi|Jaanam Dekh Lo
Drmere Rashke Qamar|Mere Rashke Qamar
Dsj Achha Ji Main Haari|Achha Ji Main Haari
Dsj Bekarar Karke Hame|Beqarar Karke Hamein
Dsj Isharon Isharon Mein Dil Lene|Isharon Isharon Mein
Dsj Rimjhim Gire Sawan|Rimjhim Gire Sawan
Dsj Wada Kar Le Saajna|Wada Kar Le Saajna
Dum Bhar Jo Udhar|Dum Bhar Jo Udhar
Dum Dum Diga Diga|Dum Dum Diga Diga
Dum Maro Dum|Dum Maro Dum
E Ajnabi|Ae Ajnabi
Edelweiss|Edelweiss
Ehsaan Tera Hoga Hoga|Ehsaan Tera Hoga Mujh Par
Ehsaan Tera Hoga Mujh Par|Ehsaan Tera Hoga Mujh Par
Ehsaan Tera Hoga Mujhpar|Ehsaan Tera Hoga Mujh Par
Ehsaan Tera Hoga Mujhpe|Ehsaan Tera Hoga Mujh Par
Ehsaan Tera|Ehsaan Tera Hoga Mujh Par
Ek Ajnabi Haseena Se|Ek Ajnabi Haseena Se
Ek Din Aap Yoon Humko|Ek Din Aap Yoon Humko
Ek Din Aap Yun|Ek Din Aap Yoon Humko
Ek Ghar Banaunga|Tere Ghar Ke Saamne
Ek Ladki Bheegi Bhaagi Si|Ek Ladki Bheegi Bhaagi Si
Ek Ladki Bheegi Bhagi Si|Ek Ladki Bheegi Bhaagi Si
Ek Ladki Ko Dekha 1942 A Love Story|Ek Ladki Ko Dekha To Aisa Laga
Ek Ladki Ko Dekha To Aisa Laga|Ek Ladki Ko Dekha To Aisa Laga
Ek Ladki Ko Dekha|Ek Ladki Ko Dekha To Aisa Laga
Ek Main Aur Ek Tu|Ek Main Aur Ek Tu
Ek Pardesi Mera Dil Le Gaya|Ek Pardesi Mera Dil Le Gaya
Ek Pyaar Ka Nagma Hain|Ek Pyaar Ka Nagma Hain
Ek Pyaar Ka Nagma Hai|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Ek Pyar Ka Shor|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Ek Pyar Nagma|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Naghma Hai|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Nagma Hai Carvaan Lounge|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Nagma Hai|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka Nagma|Ek Pyaar Ka Nagma Hain
Ek Pyar Ka|Ek Pyaar Ka Nagma Hain
Ekpyar Ka Nagma|Ek Pyaar Ka Nagma Hain
Un🅟lugg🅔dek Pyar Ka Nagma|Ek Pyaar Ka Nagma Hain
Every Breath You Take|Every Breath You Take
F Kaun Tujhe|Kaun Tujhe
Femalemale Na Tum Jaano Na Hum|Na Tum Jaano Na Hum
Gaata Rahe Mera Dil|Gaata Rahe Mera Dil
Gajab Ka Hai Din|Ghazab Ka Hai Din
Gata Rahe Mera Dil|Gaata Rahe Mera Dil
Gazab Ka Hai Din|Ghazab Ka Hai Din
